SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,CNT_FAM_MEMBERS,HOUR_APPR_PROCESS_START,EXT_SOURCE_2,EXT_SOURCE_3,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,TARGET
304640,130500.0,284400.0,0.032561,-24360,-3388,-9011.0,-4486,1.0,10,0.2821226334198544,0.5352762504724826,0.0,0.0,-1108.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,F,N,N,Unaccompanied,Working,Secondary / secondary special,Widow,Municipal apartment,1,1,0,1,1,0,Sales staff,1,1,FRIDAY,0,0,0,0,0,0,Advertising,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187389,225000.0,450000.0,0.020713,-19237,-11880,-612.0,-2783,1.0,13,0.5411562815779336,0.7076993447402619,0.0,0.0,-1564.0,0.0,0.0,0.0,1.0,0.0,2.0,Revolving loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Laborers,3,2,SATURDAY,0,0,0,0,0,0,Industry: type 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369836,225000.0,381528.0,0.004849,-11513,-2504,-5153.0,-2980,2.0,11,0.0501632541017033,0.5352762504724826,0.0,0.0,-301.0,0.0,0.0,0.0,0.0,0.0,4.0,Cash loans,M,Y,N,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,1,0,0,Laborers,2,2,MONDAY,0,0,0,0,0,0,Self-employed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330971,130500.0,312768.0,0.030755,-21956,0,-9927.0,-4448,2.0,15,0.6237968293837545,0.6363761710860439,2.0,1.0,-644.0,0.0,0.0,0.0,1.0,0.0,5.0,Cash loans,F,N,Y,Family,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,0,0,Laborers,2,2,SATURDAY,0,0,0,0,0,0,XNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180058,180000.0,239418.0,0.031329,-19314,-3166,-5578.0,-2861,1.0,15,0.5874441368624914,0.5638350489514956,0.0,0.0,-2779.0,0.0,0.0,0.0,0.0,0.0,6.0,Cash loans,F,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Accountants,2,2,MONDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387878,135000.0,405000.0,0.006233,-16633,-754,-6950.0,-3853,2.0,13,0.6494068136349576,0.5849900404894085,5.0,0.0,-1070.0,0.0,0.0,0.0,0.0,0.0,0.0,Revolving loans,F,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,1,1,0,Laborers,2,2,MONDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338051,292500.0,691020.0,0.04622,-16894,-3926,-10117.0,-452,2.0,13,0.6250583992922663,0.213966852261798,1.0,0.0,-1785.0,0.0,0.0,0.0,0.0,0.0,5.0,Cash loans,F,Y,Y,Family,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,0,0,Laborers,1,1,SATURDAY,0,0,0,0,1,1,Business Entity Type 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330086,157500.0,130824.0,0.01885,-16994,-2555,-1585.0,-550,1.0,10,0.6705180435039156,0.6863823354047934,1.0,0.0,-1029.0,0.0,0.0,0.0,0.0,0.0,4.0,Cash loans,F,N,Y,Unaccompanied,Working,Higher education,Widow,House / apartment,1,1,0,1,0,0,Laborers,2,2,SATURDAY,0,0,0,0,0,0,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226481,180000.0,993082.5,0.04622,-10548,-1112,-4983.0,-2322,2.0,10,0.6696575438898269,0.0867312636469601,1.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,8.0,Cash loans,F,N,N,Unaccompanied,Working,Higher education,Married,House / apartment,1,1,0,1,0,0,Accountants,1,1,WEDNESDAY,0,0,0,0,1,1,Industry: type 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443336,247500.0,417024.0,0.072508,-21998,-1234,-3777.0,-4760,1.0,11,0.7249732227642984,0.5971924268337128,0.0,0.0,-421.0,0.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,Y,Y,Unaccompanied,Commercial associate,Higher education,Widow,House / apartment,1,1,0,1,1,0,Laborers,1,1,TUESDAY,0,1,1,0,0,0,Medicine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170861,180000.0,454500.0,0.0035409999999999,-18153,-1548,-850.0,-1674,1.0,8,0.6253914582259202,0.7281412993111438,2.0,0.0,-591.0,0.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,1,1,0,1,0,0,High skill tech staff,1,1,FRIDAY,0,0,0,0,0,0,Transport: type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420114,112500.0,204768.0,0.025164,-20791,-8778,-8335.0,-4118,1.0,14,0.2652563401861944,0.7838324335199619,1.0,0.0,-121.0,0.0,0.0,0.0,0.0,0.0,5.0,Cash loans,M,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Laborers,2,2,SATURDAY,0,0,0,0,0,0,Business Entity Type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402601,112500.0,312840.0,0.025164,-19684,-5459,-10800.0,-3248,2.0,16,0.5960811996055599,0.5334816299804352,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,F,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,1,0,0,High skill tech staff,2,2,TUESDAY,0,0,0,0,0,0,Business Entity Type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113039,247500.0,180000.0,0.0116569999999999,-8026,-673,-7196.0,-686,1.0,17,0.3736340752396756,0.5352762504724826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Revolving loans,F,N,Y,Unaccompanied,State servant,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Medicine staff,1,1,TUESDAY,0,0,0,0,0,0,Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392448,135000.0,254700.0,0.010032,-23799,0,-828.0,-4513,2.0,9,0.6330845419711157,0.4686596550493113,0.0,0.0,-1047.0,0.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,1,0,Laborers,2,2,SATURDAY,0,0,0,0,0,0,XNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220627,112500.0,337500.0,0.028663,-12559,-2151,-3569.0,-4530,1.0,16,0.5468682537853087,0.6801388218428291,0.0,0.0,-616.0,0.0,0.0,0.0,0.0,0.0,2.0,Revolving loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,1,1,0,1,0,0,Laborers,2,2,TUESDAY,0,0,0,0,1,1,Business Entity Type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312096,360000.0,1207143.0,0.0116569999999999,-13946,-579,-115.0,-4496,2.0,11,0.6567343514525287,0.6041125998015721,0.0,0.0,-1473.0,0.0,0.0,0.0,0.0,2.0,2.0,Cash loans,M,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,1,1,0,Managers,1,1,SUNDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433507,112500.0,1321902.0,0.035792,-16235,-986,-729.0,-3733,1.0,18,0.3578596516621369,0.5352762504724826,0.0,0.0,-421.0,0.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Laborers,2,2,WEDNESDAY,0,0,0,0,0,0,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260787,211500.0,797557.5,0.0196889999999999,-17683,-2912,-2902.0,-1220,3.0,7,0.6170507604395854,0.5495965024956946,0.0,0.0,-2239.0,0.0,0.0,0.0,0.0,0.0,3.0,Cash loans,F,Y,Y,Unaccompanied,State servant,Higher education,Married,House / apartment,1,1,0,1,0,0,Core staff,2,2,FRIDAY,0,0,0,0,0,0,Medicine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333109,94500.0,452385.0,0.030755,-22883,0,-9675.0,-4363,1.0,9,0.6956452527181629,0.3774042489507649,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,Cash loans,F,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,1,0,0,Laborers,2,2,THURSDAY,0,0,0,0,0,0,XNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112504,153000.0,573628.5,0.025164,-10681,-344,-5158.0,-3360,2.0,13,0.6471481114481508,0.6848276586890367,1.0,0.0,-1491.0,0.0,0.0,0.0,1.0,1.0,0.0,Cash loans,M,Y,Y,Unaccompanied,Working,Higher education,Married,Municipal apartment,1,1,0,1,0,0,Managers,2,2,THURSDAY,0,0,0,1,1,0,Other,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277017,112500.0,260640.0,0.009175,-11859,-355,-5263.0,-3744,3.0,16,0.7041102098198005,0.6195277080511546,0.0,0.0,-2226.0,0.0,0.0,0.0,0.0,0.0,0.0,Cash loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,1,1,0,Sales staff,2,2,TUESDAY,0,0,0,0,0,0,Self-employed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418296,180000.0,247500.0,0.026392,-12159,-3454,-1122.0,-4291,2.0,12,0.6766289719905011,0.4489622731076524,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,Cash loans,M,Y,Y,Family,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,0,0,Laborers,2,2,WEDNESDAY,0,0,0,0,1,1,Business Entity Type 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100798,81000.0,454500.0,0.018209,-16658,-409,-4717.0,-210,1.0,10,0.559822472355241,0.7062051096536562,6.0,3.0,-1229.0,0.0,0.0,0.0,0.0,0.0,3.0,Cash loans,M,N,Y,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1,0,0,Laborers,3,3,WEDNESDAY,0,0,0,0,1,1,Business Entity Type 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347267,202500.0,615897.0,0.010643,-15381,-3583,-8163.0,-4348,1.0,16,0.4690442282902486,0.7583930617144343,2.0,0.0,-3181.0,0.0,0.0,0.0,0.0,0.0,3.0,Cash loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1,1,1,Laborers,2,2,THURSDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336546,157500.0,1058148.0,0.008575,-17424,-2666,-7486.0,-980,2.0,9,0.670976831989264,0.5316861425197883,6.0,0.0,-559.0,0.0,0.0,0.0,0.0,0.0,4.0,Cash loans,M,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,0,0,Laborers,2,2,MONDAY,0,0,0,0,0,0,Business Entity Type 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165548,315000.0,728833.5,0.032561,-16248,-3991,-1754.0,-1808,3.0,14,0.6823911629237606,0.6817058776720116,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,Cash loans,M,N,Y,Family,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,0,0,Cooking staff,1,1,SUNDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216836,90000.0,1293502.5,0.019101,-18186,-1990,-7100.0,-1732,3.0,6,0.7084921247576248,0.6722428897082422,0.0,0.0,-1720.0,0.0,0.0,0.0,0.0,2.0,1.0,Cash loans,F,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,1,0,Cleaning staff,2,2,FRIDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144463,112500.0,180000.0,0.006629,-9801,-851,-1294.0,-822,2.0,10,0.2663488172078408,0.5352762504724826,11.0,0.0,-696.0,0.0,0.0,0.0,0.0,0.0,1.0,Revolving loans,F,N,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,0,0,Laborers,2,2,SUNDAY,0,0,0,0,0,0,Business Entity Type 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178743,157500.0,135000.0,0.010147,-20542,0,-7366.0,-3833,1.0,14,0.6085936879724012,0.8027454758994178,0.0,0.0,-475.0,0.0,0.0,0.0,0.0,1.0,0.0,Revolving loans,F,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,1,0,0,Laborers,2,2,TUESDAY,0,0,0,0,0,0,XNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175786,162000.0,1056447.0,0.025164,-14886,-7016,-4706.0,-4706,2.0,13,0.0118785550470113,0.4938628816996244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cash loans,F,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,1,1,0,1,0,0,Core staff,2,2,THURSDAY,0,0,0,0,0,0,Kindergarten,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218585,202500.0,536917.5,0.020246,-13884,-3367,-1128.0,-4779,4.0,9,0.5088955839272001,0.4902575124990026,3.0,0.0,-670.0,0.0,0.0,0.0,0.0,1.0,1.0,Cash loans,M,N,Y,"Spouse, partner",State servant,Secondary / secondary special,Married,House / apartment,1,1,0,1,0,0,Core staff,3,3,WEDNESDAY,0,0,0,0,0,0,Military,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307043,202500.0,700830.0,0.0088659999999999,-10216,-239,-7720.0,-870,2.0,13,0.2539015054135639,0.1556893746835917,0.0,0.0,-1381.0,0.0,0.0,0.0,0.0,1.0,3.0,Cash loans,F,N,N,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,1,1,0,1,0,0,Laborers,2,2,WEDNESDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334181,153000.0,315000.0,0.028663,-10089,-116,-4727.0,-2769,1.0,8,0.5992046810801049,0.3328505641648731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,Cash loans,M,Y,N,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,1,0,0,Laborers,2,2,SUNDAY,0,0,0,0,0,0,Construction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138065,270000.0,835380.0,0.072508,-11437,-1199,-2398.0,-2636,3.0,14,0.5769712422572617,0.3876253444214701,0.0,0.0,-310.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,F,N,N,"Spouse, partner",Commercial associate,Higher education,Married,House / apartment,1,1,0,1,1,0,Laborers,1,1,MONDAY,0,0,0,0,0,0,Business Entity Type 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449959,121500.0,134316.0,0.0060079999999999,-13714,-757,-7808.0,-4662,4.0,16,0.6445321861334664,0.3825018041447388,0.0,0.0,-2643.0,0.0,0.0,0.0,1.0,0.0,6.0,Cash loans,M,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,0,0,Managers,2,2,WEDNESDAY,0,0,0,0,0,0,Self-employed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378008,225000.0,286704.0,0.0228,-14077,-3792,-6936.0,-2195,2.0,8,0.4547236800222559,0.3457848024695955,6.0,0.0,-1007.0,0.0,0.0,0.0,0.0,0.0,7.0,Cash loans,F,N,Y,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,1,0,0,Laborers,2,2,MONDAY,0,0,0,0,0,0,School,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318324,144000.0,202500.0,0.028663,-20924,0,-4310.0,-4467,1.0,15,0.6586297752174068,0.7407990879702335,0.0,0.0,-1582.0,0.0,0.0,0.0,0.0,0.0,4.0,Revolving loans,F,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,0,1,0,0,Laborers,2,2,TUESDAY,0,0,0,0,0,0,XNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196465,225000.0,452385.0,0.035792,-16462,-704,-9172.0,-5,2.0,10,0.6357674836801406,0.6863823354047934,2.0,0.0,-2877.0,0.0,0.0,0.0,0.0,0.0,5.0,Cash loans,M,Y,Y,Unaccompanied,Working,Incomplete higher,Married,House / apartment,1,1,0,1,1,0,Drivers,2,2,SATURDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289992,315000.0,490495.5,0.018801,-15159,-6705,-8423.0,-5059,2.0,7,0.5685809721426311,0.5262949398096192,8.0,1.0,-1876.0,0.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,Y,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,1,1,0,1,0,0,Managers,2,2,WEDNESDAY,0,0,0,0,0,0,School,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347837,211500.0,270000.0,0.0038179999999999,-9791,-947,-4480.0,-2474,2.0,9,0.5586905495201231,0.6263042766749393,5.0,0.0,-514.0,0.0,0.0,0.0,0.0,0.0,8.0,Cash loans,M,Y,N,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,1,1,1,Sales staff,2,2,TUESDAY,0,0,0,0,0,0,Business Entity Type 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115784,135000.0,52128.0,0.0072739999999999,-23176,0,-10146.0,-4857,1.0,11,0.0782921435583397,0.8083935912119442,1.0,0.0,-390.0,0.0,0.0,0.0,0.0,0.0,4.0,Cash loans,F,N,Y,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,1,0,0,Laborers,2,2,SUNDAY,0,0,0,0,0,0,XNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317317,99000.0,675000.0,0.026392,-22866,0,-2078.0,-4367,2.0,14,0.4725746874672691,0.5352762504724826,0.0,0.0,-421.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,M,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,1,1,0,Laborers,2,2,THURSDAY,0,0,0,0,0,0,XNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348524,67500.0,178290.0,0.035792,-13676,-3274,-807.0,-4407,3.0,10,0.378719449347407,0.5352762504724826,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,M,Y,Y,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,1,1,0,1,1,0,Drivers,2,2,MONDAY,0,0,0,0,0,0,Security,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345640,157500.0,472500.0,0.015221,-13263,-1567,-699.0,-709,3.0,9,0.5254119675464457,0.4014074137749511,3.0,0.0,-114.0,1.0,0.0,0.0,0.0,0.0,2.0,Cash loans,F,Y,Y,Family,Working,Higher education,Married,House / apartment,1,1,0,1,0,0,Accountants,2,2,THURSDAY,0,0,0,0,0,0,Business Entity Type 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294894,292500.0,841500.0,0.028663,-20047,-10233,-9981.0,-3599,2.0,13,0.3907433476765628,0.6263042766749393,1.0,0.0,-535.0,0.0,0.0,0.0,0.0,0.0,1.0,Cash loans,F,Y,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,1,0,1,Core staff,2,2,TUESDAY,0,0,0,0,0,0,Medicine,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
